
This was created by typing Get-Process | Out-File -FilePath .\Processes.txt. It is from the lab on page 39.

 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     11     2.09      13.32       0.03   29736   1 dllhost
     11     4.11      14.38       0.00    4416   0 DtsHPXV2Apo4Service
     82   330.18     132.23       0.00    1708   1 dwm
     29   136.05     143.04       7.83   22196   1 esrv
     37   225.23     225.62       0.00   11680   0 esrv_svc
    163   312.57     446.86      50.84   13056   1 explorer
     89   126.21     171.21       0.00    5168   0 ExpressVPN.AppService
     61    48.56      82.86       2.23   25348   1 ExpressVPN.BrowserHelper
     68    51.36      89.86       0.00    4692   0 ExpressVPN.SystemService
     59    44.28      80.86       0.00    4668   0 ExpressVPN.VpnService
     64    42.88      74.77       4.17   12408   1 ExpressVPNNotificationService
     12     1.83      11.77       0.00    9144   0 extensionCardHal_x86
     17    10.07      32.12       0.44   30036   1 FileCoAuth
     18     4.78      27.23       0.00    9572   0 FileSyncHelper
      8     1.93       5.66       0.00    1456   0 fontdrvhost
     11     4.59      11.42       0.00    1464   1 fontdrvhost
     12     1.85       9.15       0.00    4660   0 GameSDK
     26     9.11      46.28       0.00    8300   0 gamingservices
     15    12.21      14.14       0.00    8812   0 gamingservicesnet
     18     4.76      23.73       0.00    4652   0 HPPrintScanDoctorService
    147   260.22     288.90     102.73   10980   1 iCUE
     15     3.24      18.14       0.00    1980   0 iCUEUpdateService
      0     0.06       0.01       0.00       0   0 Idle
     24    19.06       2.95       0.00   25820   0 IntelSoftwareAssetManagerService
     42    38.85      62.52       0.00    4800   0 LightingService
     26    10.73      34.45       0.00    1228   0 lsass
      0     0.04       0.00       0.00    2744   0 Memory Compression
     18     7.40      29.88       0.00   19124   0 MidiSrv
     17    11.27      27.97       0.00    4620   0 MpDefenderCoreService
     25   124.18     157.02       2.12    4156   1 msedge
     11     2.49       9.67       0.03    9792   1 msedge
     12     9.28      19.72       0.08   12424   1 msedge
     32    75.69     123.63       1.30   19020   1 msedge
     26    67.45      90.61       0.22   21828   1 msedge
     19    18.19      32.82       0.06   30240   1 msedge
     36    71.84      68.21       0.59   30868   1 msedge
     26    16.66      44.44       0.41   31140   1 msedge
     66    98.18     214.29       3.25   31568   1 msedge
     54    45.56     128.25       2.23   14672   1 msedgewebview2
     10     2.48       9.60       0.03   16012   1 msedgewebview2
     30    59.55     106.12       1.41   17004   1 msedgewebview2
     22    15.84      42.86       0.50   17180   1 msedgewebview2
     38    77.76      78.88       1.56   17192   1 msedgewebview2
     11     9.48      20.73       0.09   17284   1 msedgewebview2
    248   361.52     318.41       0.00    4676   0 MsMpEng
     13     5.07      15.50       0.00   13076   0 NisSrv
     22    55.38       4.48      18.97    6244   1 NoiseCancelingEngine
     45    80.29      98.62       4.47    8544   1 notepad++
     27    12.78      43.26       0.00    4396   0 nvcontainer
     27    12.47      45.04       0.00    9304   1 nvcontainer
     53    60.74     100.68      21.20    9312   1 nvcontainer
     20     8.85      35.82       3.73   11372   1 nvcontainer
     25    31.09      60.65       0.00    2268   0 NVDisplay.Container
     31    34.54      68.07       0.00    5108   1 NVDisplay.Container
     16     8.95      23.18       0.27   10804   1 NVIDIA Overlay
     64   166.10     188.19       8.34   13804   1 NVIDIA Overlay
     32   123.60      75.61       4.41   15032   1 NVIDIA Overlay
     23    11.46      36.84       1.27   15344   1 NVIDIA Overlay
     32    48.20      89.76       1.62   16336   1 NVIDIA Overlay
     14     3.19      17.39       7.62   13752   1 nvsphelper64
     27    38.08      74.57       0.00    4844   0 OfficeClickToRun
     79   144.43     197.11       7.08   21432   1 OneDrive
     10     2.36      11.36       0.31   22280   1 OpenConsole
     13     1.57      10.79       1.39   26548   1 PBN
    114   294.15     388.69      19.09   22216   1 pwsh
     91    50.02     134.40       4.48   26420   1 pwsh
     29    11.53      48.24       0.00     224   0 Registry
     32    12.53      41.86       0.00    4636   0 ROGLiveService
     36    17.14      69.86       1.72   15252   1 RuntimeBroker
     11     2.35      14.21       0.02   16504   1 RuntimeBroker
     11     2.41      14.29       0.03   23392   1 RuntimeBroker
     16     5.18      30.83       0.17   25388   1 RuntimeBroker
     14     3.12      23.62       0.14   26196   1 RuntimeBroker
     55   104.12     159.30       3.23   14840   1 SearchHost
     19    19.50      40.34       0.00    9424   0 SearchIndexer
     21     7.87      25.62       0.00   17672   0 SecurityHealthService
     11     2.12      13.56       0.08   13616   1 SecurityHealthSystray
     18     6.93      21.19       0.00    1164   0 services
     34    61.89      91.12       0.62   16564   1 ShellExperienceHost
     26    57.23      62.29       0.34   13284   1 ShellHost
     48    96.62     123.16       0.91   31216   1 ShellHost
     34   179.04     136.39       2.45    1176   1 Signal
     18    13.00      56.19       0.20   12872   1 Signal
     42   206.22     229.86       3.03   21152   1 Signal
     74   262.53     254.74      12.42   21316   1 Signal
     25     8.56      53.98       6.72    1036   1 sihost
     43   297.80     362.36      12.11    2860   1 Slack
     32    78.65     104.83       2.59    5260   1 Slack
     21    15.47      63.55       1.83   24540   1 Slack
     12    10.85      43.05       0.03   25440   1 Slack
     51   106.03     155.16       8.97   25476   1 Slack
     15    11.64      92.73       0.25   26200   1 Slack
     26    66.93     123.73       1.75   26208   1 Slack
      4     1.27       1.75       0.00     780   0 smss
     28    10.14      34.90       0.00    3444   0 spoolsv
     38   241.68     309.92       8.98    3572   1 Spotify
    100   216.69     330.04      31.73    8364   1 Spotify
     13     2.81      12.83       0.03   16492   1 Spotify
     18    19.08      29.05       0.50   16664   1 Spotify
     31    25.91      54.07       2.38   16716   1 Spotify
     41   106.95      92.27       3.08   16972   1 Spotify
     18    70.13      87.65       1.53   19660   1 Spotify
     55   116.86     175.04       3.45   14860   1 StartMenuExperienceHost
     95    99.38     126.25      31.20   14368   1 steam
     16     6.87      18.68       0.00    1984   0 steamservice
     24    11.94      34.06       1.61    3904   1 steamwebhelper
     57    45.16     168.05      22.67   11364   1 steamwebhelper
     31   360.05     394.68       6.55   16780   1 steamwebhelper
     13     7.85      15.29       0.08   18324   1 steamwebhelper
     36   107.55      88.77       3.81   19476   1 steamwebhelper
     14    10.92      23.18       0.42   19952   1 steamwebhelper
